UTP,Cidade Sede,UF,Impacto direto,Impacto direto e indireto,"Impacto direto, indireto e induzido"
426,Caçador,SC,0.006,0.008,0.008
664,Remanso,BA,0.007,0.008,0.008
177,Jandaia do Sul,PR,0.006,0.008,0.008
108,Fernandópolis,SP,0.006,0.008,0.008
755,Viçosa,RN,0.006,0.007,0.008
756,Videira,SC,0.005,0.007,0.007
137,Brasiléia,AC,0.005,0.007,0.007
95,Cordeiro,RJ,0.005,0.007,0.008
478,Conceição do Araguaia,PA,0.006,0.007,0.008
481,Cornélio Procópio,PR,0.005,0.007,0.009
441,Campo Novo,RS,0.005,0.007,0.009
453,Caravelas,BA,0.006,0.007,0.008
172,Ivoti,RS,0.005,0.007,0.008
746,Uruaçu,GO,0.006,0.007,0.008
631,Pau dos Ferros,RN,0.006,0.007,0.008
378,Alto Paraíso de Goiás,GO,0.007,0.007,0.007
265,Ponte Nova,MG,0.005,0.007,0.008
385,Anori,AM,0.007,0.007,0.007
247,Paulo de Faria,SP,0.006,0.007,0.007
192,Lagoa Vermelha,RS,0.004,0.007,0.008
169,Pará de Minas,MG,0.007,0.007,0.008
303,São Bento do Sul,SC,0.005,0.007,0.008
646,Poconé,MT,0.007,0.007,0.007
70,Três Barras,SC,0.005,0.007,0.008
611,Nova Prata,RS,0.004,0.007,0.008
296,Santa Maria da Vitória,BA,0.006,0.007,0.008
262,Poços de Caldas,MG,0.005,0.007,0.009
578,Manoel Ribas,PR,0.005,0.007,0.008
361,Viçosa,MG,0.004,0.006,0.007
439,Campo Maior,PI,0.005,0.006,0.006
748,Urucará,AM,0.005,0.006,0.006
123,Jaboticabal,SP,0.005,0.006,0.007
585,Matupá,MT,0.004,0.006,0.006
245,Paty do Alferes,RJ,0.004,0.006,0.007
675,Salgueiro,PE,0.005,0.006,0.006
12,Amarante,PI,0.005,0.006,0.006
451,Caracaraí,RR,0.005,0.006,0.006
604,Naviraí,MS,0.004,0.006,0.006
709,São Lourenço do Sul,RS,0.005,0.006,0.007
89,Charqueadas,RS,0.004,0.006,0.006
195,Lavras,MG,0.004,0.006,0.006
109,Floriano,PI,0.006,0.006,0.007
603,Mundo Novo,BA,0.005,0.006,0.007
71,Capão Bonito,SP,0.004,0.006,0.007
184,João Monlevade,MG,0.005,0.006,0.006
499,Dianópolis,TO,0.004,0.006,0.006
480,Concórdia,SC,0.004,0.006,0.006
562,Tupanciretã,RS,0.004,0.006,0.007
365,Votuporanga,SP,0.005,0.006,0.007
148,Ponta Porã,MS,0.004,0.006,0.007
97,Cruzeiro,SP,0.005,0.006,0.007
277,Quirinópolis,GO,0.004,0.005,0.006
241,Passos,MG,0.003,0.005,0.006
689,Santana do Araguaia,PA,0.005,0.005,0.006
750,Vacaria,RS,0.003,0.005,0.006
498,Diamantino,MT,0.004,0.005,0.005
3,Adamantina,SP,0.004,0.005,0.006
9,Santa Rita do Araguaia,GO,0.003,0.005,0.006
272,Praia Grande,SC,0.003,0.005,0.006
259,Ipira,SC,0.003,0.005,0.006
624,Palotina,PR,0.004,0.005,0.005
406,Barreirinha,AM,0.005,0.005,0.006
338,Teutônia,RS,0.003,0.005,0.005
204,Mafra,SC,0.003,0.005,0.006
73,Capinzal,SC,0.004,0.005,0.005
405,Barra do Corda,MA,0.005,0.005,0.006
168,Itatiba,SP,0.004,0.005,0.006
386,Aparecida do Taboado,MS,0.005,0.005,0.005
175,Jales,SP,0.003,0.005,0.005
381,Amapá,AP,0.003,0.005,0.005
176,Janaúba,MG,0.004,0.005,0.005
763,Xinguara,PA,0.004,0.005,0.005
45,Penápolis,SP,0.004,0.005,0.006
655,Prainha,PA,0.004,0.005,0.005
520,Guanambi,BA,0.004,0.005,0.006
18,Aquidauana,MS,0.004,0.005,0.005
601,Mozarlândia,GO,0.004,0.005,0.006
17,Apucarana,PR,0.003,0.005,0.006
518,Grajaú,MA,0.005,0.005,0.006
357,Valparaíso,SP,0.004,0.005,0.006
705,São João dos Patos,MA,0.004,0.005,0.005
35,Barbacena,MG,0.004,0.005,0.006
527,Horizontina,RS,0.003,0.005,0.006
21,Araguari,MG,0.004,0.005,0.006
528,Humaitá,AM,0.004,0.004,0.004
488,Cristalina,GO,0.003,0.004,0.004
540,Itacoatiara,AM,0.004,0.004,0.004
581,Maracás,BA,0.003,0.004,0.004
36,Barra Bonita,SP,0.003,0.004,0.004
625,Paracatu,MG,0.004,0.004,0.005
502,Encruzilhada do Sul,RS,0.003,0.004,0.004
662,Redenção,PA,0.003,0.004,0.004
531,Ibimirim,PE,0.004,0.004,0.005
640,Piracanjuba,GO,0.003,0.004,0.005
486,Coxim,MS,0.004,0.004,0.005
332,Tatuí,SP,0.002,0.004,0.004
754,Veranópolis,RS,0.003,0.004,0.004
226,Nova Londrina,PR,0.003,0.004,0.004
225,Nova Granada,SP,0.003,0.004,0.005
127,Imbituba,SC,0.003,0.004,0.004
459,Castelo do Piauí,PI,0.004,0.004,0.004
261,Frutal,MG,0.003,0.004,0.004
423,Buriticupu,MA,0.003,0.004,0.004
266,Ponto Belo,ES,0.002,0.004,0.004
399,Autazes,AM,0.003,0.004,0.004
398,Aruanã,GO,0.003,0.004,0.005
270,Pouso Alegre,MG,0.003,0.004,0.005
437,Campo Alegre de Lourdes,BA,0.004,0.004,0.004
377,Alto Garças,MT,0.003,0.004,0.005
286,Rio Grande,RS,0.003,0.004,0.005
275,Presidente Venceslau,SP,0.003,0.004,0.004
300,Santo Antônio de Pádua,RJ,0.003,0.004,0.005
743,Uauá,BA,0.004,0.004,0.004
742,Uarini,AM,0.003,0.004,0.005
249,Guaraí,TO,0.003,0.004,0.004
335,Teófilo Otoni,MG,0.003,0.003,0.003
538,Irecê,BA,0.002,0.003,0.003
751,Valença do Piauí,PI,0.002,0.003,0.003
146,Oiapoque,AP,0.002,0.003,0.004
744,Unaí,MG,0.003,0.003,0.003
545,Ituaçu,BA,0.002,0.003,0.003
712,São Manuel,SP,0.002,0.003,0.004
427,Caçapava do Sul,RS,0.002,0.003,0.003
717,São Sepé,RS,0.002,0.003,0.003
26,Araras,SP,0.003,0.003,0.004
676,Salinas,MG,0.002,0.003,0.003
404,Barra,BA,0.003,0.003,0.003
347,Tupã,SP,0.002,0.003,0.003
183,Joaçaba,SC,0.002,0.003,0.003
402,Bandeirantes,PR,0.002,0.003,0.004
348,Tupi Paulista,SP,0.003,0.003,0.003
726,Souto Soares,BA,0.002,0.003,0.003
671,Rorainópolis,RR,0.002,0.003,0.003
731,Tarauacá,AC,0.002,0.003,0.004
384,Andirá,PR,0.002,0.003,0.003
